GAME_ID,GAME_DATE,MATCHUP,WL,PTS,PLUS_MINUS,TEAM,OPPONENT
0022300062,2023-10-24,GSW vs. PHX,L,104,-4,GSW,PHX
0022300061,2023-10-24,DEN vs. LAL,W,119,12,DEN,LAL
0022300067,2023-10-25,BKN vs. CLE,L,113,-1,BKN,CLE
0022300063,2023-10-25,CHA vs. ATL,W,116,6,CHA,ATL
0022300068,2023-10-25,MIA vs. DET,W,103,1,MIA,DET
0022300069,2023-10-25,TOR vs. MIN,W,97,3,TOR,MIN
0022300065,2023-10-25,NYK vs. BOS,L,104,-4,NYK,BOS
0022300073,2023-10-25,SAS vs. DAL,L,119,-7,SAS,DAL
0022300070,2023-10-25,CHI vs. OKC,L,104,-20,CHI,OKC
0022300066,2023-10-25,ORL vs. HOU,W,116,30,ORL,HOU
0022300064,2023-10-25,IND vs. WAS,W,143,23,IND,WAS
0022300071,2023-10-25,MEM vs. NOP,L,104,-7,MEM,NOP
0022300074,2023-10-25,LAC vs. POR,W,123,12,LAC,POR
0022300072,2023-10-25,UTA vs. SAC,L,114,-16,UTA,SAC
0022300076,2023-10-26,LAL vs. PHX,W,100,5,LAL,PHX
0022300075,2023-10-26,MIL vs. PHI,W,118,1,MIL,PHI
0022300085,2023-10-27,UTA vs. LAC,W,120,2,UTA,LAC
0022300084,2023-10-27,DAL vs. BKN,W,125,5,DAL,BKN
0022300078,2023-10-27,MEM vs. DEN,L,104,-4,MEM,DEN
0022300082,2023-10-27,CHI vs. TOR,W,104,1,CHI,TOR
0022300079,2023-10-27,ATL vs. NYK,L,120,-6,ATL,NYK
0022300081,2023-10-27,CLE vs. OKC,L,105,-3,CLE,OKC
0022300083,2023-10-27,SAS vs. HOU,W,126,4,SAS,HOU
0022300087,2023-10-27,SAC vs. GSW,L,114,-8,SAC,GSW
0022300077,2023-10-27,CHA vs. DET,L,99,-12,CHA,DET
0022300080,2023-10-27,BOS vs. MIA,W,119,8,BOS,MIA
0022300086,2023-10-27,POR vs. ORL,L,97,-5,POR,ORL
0022300089,2023-10-28,WAS vs. MEM,W,113,7,WAS,MEM
0022300088,2023-10-28,DET vs. CHI,W,118,16,DET,CHI
0022300091,2023-10-28,CLE vs. IND,L,113,-12,CLE,IND
0022300093,2023-10-28,MIN vs. MIA,W,106,16,MIN,MIA
0022300094,2023-10-28,PHX vs. UTA,W,126,22,PHX,UTA
0022300092,2023-10-28,TOR vs. PHI,L,107,-7,TOR,PHI
0022300090,2023-10-28,NOP vs. NYK,W,96,9,NOP,NYK
0022300097,2023-10-29,MIL vs. ATL,L,110,-17,MIL,ATL
0022300096,2023-10-29,HOU vs. GSW,L,95,-11,HOU,GSW
0022300099,2023-10-29,LAC vs. SAS,W,123,40,LAC,SAS
0022300095,2023-10-29,OKC vs. DEN,L,95,-33,OKC,DEN
0022300100,2023-10-29,SAC vs. LAL,W,132,5,SAC,LAL
0022300098,2023-10-29,PHI vs. POR,W,126,28,PHI,POR
0022300107,2023-10-30,MIL vs. MIA,W,122,8,MIL,MIA
0022300105,2023-10-30,TOR vs. POR,L,91,-8,TOR,POR
0022300110,2023-10-30,DEN vs. UTA,W,110,8,DEN,UTA
0022300109,2023-10-30,OKC vs. DET,W,124,12,OKC,DET
0022300111,2023-10-30,LAL vs. ORL,W,106,3,LAL,ORL
0022300106,2023-10-30,MEM vs. DAL,L,110,-15,MEM,DAL
0022300102,2023-10-30,IND vs. CHI,L,105,-7,IND,CHI
0022300103,2023-10-30,WAS vs. BOS,L,107,-19,WAS,BOS
0022300108,2023-10-30,NOP vs. GSW,L,102,-28,NOP,GSW
0022300101,2023-10-30,CHA vs. BKN,L,121,-12,CHA,BKN
0022300104,2023-10-30,ATL vs. MIN,W,127,14,ATL,MIN
0022300112,2023-10-31,CLE vs. NYK,L,91,-18,CLE,NYK
0022300114,2023-10-31,LAC vs. ORL,W,118,16,LAC,ORL
0022300113,2023-10-31,PHX vs. SAS,L,114,-1,PHX,SAS
0022300120,2023-11-01,NYK vs. CLE,L,89,-6,NYK,CLE
0022300124,2023-11-01,DAL vs. CHI,W,114,9,DAL,CHI
0022300121,2023-11-01,OKC vs. NOP,L,106,-4,OKC,NOP
0022300116,2023-11-01,TOR vs. MIL,W,130,19,TOR,MIL
0022300115,2023-11-01,DET vs. POR,L,101,-9,DET,POR
0022300118,2023-11-01,BOS vs. IND,W,155,51,BOS,IND
0022300123,2023-11-01,MIN vs. DEN,W,110,21,MIN,DEN
0022300127,2023-11-01,LAL vs. LAC,W,130,5,LAL,LAC
0022300126,2023-11-01,GSW vs. SAC,W,102,1,GSW,SAC
0022300122,2023-11-01,HOU vs. CHA,W,128,9,HOU,CHA
0022300117,2023-11-01,ATL vs. WAS,W,130,9,ATL,WAS
0022300125,2023-11-01,UTA vs. MEM,W,133,24,UTA,MEM
0022300119,2023-11-01,MIA vs. BKN,L,105,-4,MIA,BKN
0022300130,2023-11-02,UTA vs. ORL,L,113,-2,UTA,ORL
0022300128,2023-11-02,PHI vs. TOR,W,114,15,PHI,TOR
0022300131,2023-11-02,PHX vs. SAS,L,121,-11,PHX,SAS
0022300129,2023-11-02,NOP vs. DET,W,125,9,NOP,DET
0022300001,2023-11-03,IND vs. CLE,W,121,5,IND,CLE
0022300002,2023-11-03,MIL vs. NYK,W,110,5,MIL,NYK
0022300003,2023-11-03,MIA vs. WAS,W,121,7,MIA,WAS
0022300005,2023-11-03,OKC vs. GSW,L,139,-2,OKC,GSW
0022300006,2023-11-03,DEN vs. DAL,W,125,11,DEN,DAL
0022300007,2023-11-03,POR vs. MEM,W,115,2,POR,MEM
0022300004,2023-11-03,CHI vs. BKN,L,107,-2,CHI,BKN
0022300138,2023-11-04,MIN vs. UTA,W,123,28,MIN,UTA
0022300135,2023-11-04,NOP vs. ATL,L,105,-18,NOP,ATL
0022300136,2023-11-04,BKN vs. BOS,L,114,-10,BKN,BOS
0022300139,2023-11-04,DEN vs. CHI,W,123,22,DEN,CHI
0022300133,2023-11-04,IND vs. CHA,L,124,-1,IND,CHA
0022300137,2023-11-04,HOU vs. SAC,W,107,18,HOU,SAC
0022300134,2023-11-04,ORL vs. LAL,W,120,19,ORL,LAL
0022300132,2023-11-04,PHI vs. PHX,W,112,12,PHI,PHX
0022300143,2023-11-05,DAL vs. CHA,W,124,6,DAL,CHA
0022300140,2023-11-05,DET vs. PHX,L,106,-14,DET,PHX
0022300141,2023-11-05,SAS vs. TOR,L,116,-7,SAS,TOR
0022300144,2023-11-05,POR vs. MEM,L,100,-12,POR,MEM
0022300142,2023-11-05,CLE vs. GSW,W,115,11,CLE,GSW
0022300150,2023-11-06,MIA vs. LAL,W,108,1,MIA,LAL
0022300154,2023-11-06,MIN vs. BOS,W,114,5,MIN,BOS
0022300153,2023-11-06,HOU vs. SAC,W,122,25,HOU,SAC
0022300151,2023-11-06,NYK vs. LAC,W,111,14,NYK,LAC
0022300147,2023-11-06,ORL vs. DAL,L,102,-15,ORL,DAL
0022300145,2023-11-06,DET vs. GSW,L,109,-11,DET,GSW
0022300148,2023-11-06,PHI vs. WAS,W,146,18,PHI,WAS
0022300149,2023-11-06,BKN vs. MIL,L,125,-4,BKN,MIL
0022300155,2023-11-06,OKC vs. ATL,W,126,9,OKC,ATL
0022300146,2023-11-06,IND vs. SAS,W,152,41,IND,SAS
0022300152,2023-11-06,CHI vs. UTA,W,130,17,CHI,UTA
0022300156,2023-11-06,DEN vs. NOP,W,134,18,DEN,NOP
0022300168,2023-11-08,DAL vs. TOR,L,116,-11,DAL,TOR
0022300157,2023-11-08,CHA vs. WAS,L,116,-16,CHA,WAS
0022300165,2023-11-08,MIL vs. DET,W,120,2,MIL,DET
0022300163,2023-11-08,HOU vs. LAL,W,128,34,HOU,LAL
0022300166,2023-11-08,MIN vs. NOP,W,122,21,MIN,NOP
0022300160,2023-11-08,BKN vs. LAC,W,100,7,BKN,LAC
0022300159,2023-11-08,PHI vs. BOS,W,106,3,PHI,BOS
0022300169,2023-11-08,DEN vs. GSW,W,108,3,DEN,GSW
0022300164,2023-11-08,MEM vs. MIA,L,102,-6,MEM,MIA
0022300162,2023-11-08,CHI vs. PHX,L,115,-1,CHI,PHX
0022300161,2023-11-08,NYK vs. SAS,W,126,21,NYK,SAS
0022300158,2023-11-08,IND vs. UTA,W,134,16,IND,UTA
0022300170,2023-11-08,SAC vs. POR,W,121,3,SAC,POR
0022300167,2023-11-08,OKC vs. CLE,W,128,8,OKC,CLE
0022300172,2023-11-09,ORL vs. ATL,L,119,-1,ORL,ATL
0022300171,2023-11-09,IND vs. MIL,W,126,2,IND,MIL
0022300010,2023-11-10,BOS vs. BKN,W,121,14,BOS,BKN
0022300013,2023-11-10,SAS vs. MIN,L,110,-7,SAS,MIN
0022300014,2023-11-10,DAL vs. LAC,W,144,18,DAL,LAC
0022300016,2023-11-10,SAC vs. OKC,W,105,7,SAC,OKC
0022300011,2023-11-10,HOU vs. NOP,W,104,3,HOU,NOP
0022300008,2023-11-10,DET vs. PHI,L,106,-8,DET,PHI
0022300012,2023-11-10,MEM vs. UTA,L,121,-6,MEM,UTA
0022300015,2023-11-10,PHX vs. LAL,L,119,-3,PHX,LAL
0022300009,2023-11-10,WAS vs. CHA,L,117,-7,WAS,CHA
0022300173,2023-11-11,ORL vs. MIL,W,112,15,ORL,MIL
0022300175,2023-11-11,ATL vs. MIA,L,109,-8,ATL,MIA
0022300174,2023-11-11,BOS vs. TOR,W,117,23,BOS,TOR
0022300176,2023-11-11,GSW vs. CLE,L,110,-8,GSW,CLE
0022300183,2023-11-12,NOP vs. DAL,L,124,-12,NOP,DAL
0022300187,2023-11-12,LAL vs. POR,W,116,6,LAL,POR
0022300182,2023-11-12,HOU vs. DEN,W,107,3,HOU,DEN
0022300180,2023-11-12,PHI vs. IND,W,137,11,PHI,IND
0022300184,2023-11-12,SAS vs. MIA,L,113,-5,SAS,MIA
0022300177,2023-11-12,NYK vs. CHA,W,129,22,NYK,CHA
0022300178,2023-11-12,BKN vs. WAS,W,102,8,BKN,WAS
0022300186,2023-11-12,GSW vs. MIN,L,110,-6,GSW,MIN
0022300185,2023-11-12,PHX vs. OKC,L,99,-12,PHX,OKC
0022300181,2023-11-12,CHI vs. DET,W,119,11,CHI,DET
0022300179,2023-11-12,LAC vs. MEM,L,101,-4,LAC,MEM
0022300190,2023-11-13,MIL vs. CHI,W,118,9,MIL,CHI
0022300189,2023-11-13,TOR vs. WAS,W,111,4,TOR,WAS
0022300191,2023-11-13,SAC vs. CLE,W,132,12,SAC,CLE
0022300188,2023-11-13,BOS vs. NYK,W,114,16,BOS,NYK
0022300020,2023-11-14,BKN vs. ORL,W,124,20,BKN,ORL
0022300019,2023-11-14,PHI vs. IND,L,126,-6,PHI,IND
0022300026,2023-11-14,LAL vs. MEM,W,134,27,LAL,MEM
0022300024,2023-11-14,DEN vs. LAC,W,111,3,DEN,LAC
0022300023,2023-11-14,UTA vs. POR,W,115,16,UTA,POR
0022300021,2023-11-14,OKC vs. SAS,W,123,36,OKC,SAS
0022300025,2023-11-14,GSW vs. MIN,L,101,-3,GSW,MIN
0022300018,2023-11-14,DET vs. ATL,L,120,-6,DET,ATL
0022300022,2023-11-14,NOP vs. DAL,W,131,21,NOP,DAL
0022300017,2023-11-14,CHA vs. MIA,L,105,-6,CHA,MIA
0022300193,2023-11-15,ATL vs. NYK,L,114,-2,ATL,NYK
0022300196,2023-11-15,CHI vs. ORL,L,94,-2,CHI,ORL
0022300197,2023-11-15,PHX vs. MIN,W,133,18,PHX,MIN
0022300194,2023-11-15,PHI vs. BOS,L,107,-10,PHI,BOS
0022300198,2023-11-15,LAL vs. SAC,L,110,-15,LAL,SAC
0022300195,2023-11-15,TOR vs. MIL,L,112,-16,TOR,MIL
0022300192,2023-11-15,WAS vs. DAL,L,117,-13,WAS,DAL
0022300199,2023-11-15,POR vs. CLE,L,95,-14,POR,CLE
0022300201,2023-11-16,GSW vs. OKC,L,109,-19,GSW,OKC
0022300200,2023-11-16,MIA vs. BKN,W,122,7,MIA,BKN
0022300036,2023-11-17,POR vs. LAL,L,95,-12,POR,LAL
0022300034,2023-11-17,NOP vs. DEN,W,115,5,NOP,DEN
0022300033,2023-11-17,CHI vs. ORL,L,97,-6,CHI,ORL
0022300027,2023-11-17,CHA vs. MIL,L,99,-31,CHA,MIL
0022300028,2023-11-17,WAS vs. NYK,L,99,-21,WAS,NYK
0022300035,2023-11-17,UTA vs. PHX,L,128,-3,UTA,PHX
0022300031,2023-11-17,TOR vs. BOS,L,105,-3,TOR,BOS
0022300029,2023-11-17,ATL vs. PHI,L,116,-10,ATL,PHI
0022300030,2023-11-17,CLE vs. DET,W,108,8,CLE,DET
0022300037,2023-11-17,LAC vs. HOU,W,106,6,LAC,HOU
0022300032,2023-11-17,SAS vs. SAC,L,120,-9,SAS,SAC
0022300207,2023-11-18,GSW vs. OKC,L,123,-7,GSW,OKC
0022300206,2023-11-18,SAS vs. MEM,L,108,-12,SAS,MEM
0022300204,2023-11-18,CHI vs. MIA,W,102,5,CHI,MIA
0022300205,2023-11-18,MIL vs. DAL,W,132,7,MIL,DAL
0022300203,2023-11-18,NOP vs. MIN,L,120,-1,NOP,MIN
0022300202,2023-11-18,CHA vs. NYK,L,108,-14,CHA,NYK
0022300212,2023-11-19,DAL vs. SAC,L,113,-16,DAL,SAC
0022300211,2023-11-19,TOR vs. DET,W,142,29,TOR,DET
0022300216,2023-11-19,LAL vs. HOU,W,105,1,LAL,HOU
0022300213,2023-11-19,MEM vs. BOS,L,100,-2,MEM,BOS
0022300208,2023-11-19,BKN vs. PHI,L,99,-22,BKN,PHI
0022300210,2023-11-19,CLE vs. DEN,W,121,12,CLE,DEN
0022300209,2023-11-19,IND vs. ORL,L,116,-12,IND,ORL
0022300215,2023-11-19,POR vs. OKC,L,91,-43,POR,OKC
0022300214,2023-11-19,UTA vs. PHX,L,137,-3,UTA,PHX
0022300217,2023-11-20,CHA vs. BOS,W,121,3,CHA,BOS
0022300222,2023-11-20,NOP vs. SAC,W,129,36,NOP,SAC
0022300221,2023-11-20,MIN vs. NYK,W,117,17,MIN,NYK
0022300220,2023-11-20,CHI vs. MIA,L,100,-18,CHI,MIA
0022300218,2023-11-20,DET vs. DEN,L,103,-4,DET,DEN
0022300219,2023-11-20,WAS vs. MIL,L,129,-13,WAS,MIL
0022300223,2023-11-20,SAS vs. LAC,L,99,-25,SAS,LAC
0022300224,2023-11-20,GSW vs. HOU,W,121,5,GSW,HOU
0022300038,2023-11-21,ORL vs. TOR,W,126,19,ORL,TOR
0022300041,2023-11-21,PHX vs. POR,W,120,13,PHX,POR
0022300039,2023-11-21,ATL vs. IND,L,152,-5,ATL,IND
0022300040,2023-11-21,PHI vs. CLE,L,119,-3,PHI,CLE
0022300042,2023-11-21,LAL vs. UTA,W,131,32,LAL,UTA
0022300225,2023-11-22,CHA vs. WAS,W,117,3,CHA,WAS
0022300228,2023-11-22,BOS vs. MIL,W,119,3,BOS,MIL
0022300230,2023-11-22,IND vs. TOR,L,131,-1,IND,TOR
0022300233,2023-11-22,NOP vs. SAC,W,117,5,NOP,SAC
0022300238,2023-11-22,LAL vs. DAL,L,101,-3,LAL,DAL
0022300229,2023-11-22,CLE vs. MIA,L,96,-33,CLE,MIA
0022300237,2023-11-22,POR vs. UTA,W,121,16,POR,UTA
0022300236,2023-11-22,PHX vs. GSW,W,123,8,PHX,GSW
0022300235,2023-11-22,SAS vs. LAC,L,102,-7,SAS,LAC
0022300226,2023-11-22,ORL vs. DEN,W,124,5,ORL,DEN
0022300227,2023-11-22,ATL vs. BKN,W,147,2,ATL,BKN
0022300232,2023-11-22,MIN vs. PHI,W,112,13,MIN,PHI
0022300234,2023-11-22,OKC vs. CHI,W,116,14,OKC,CHI
0022300231,2023-11-22,HOU vs. MEM,W,111,20,HOU,MEM
0022300052,2023-11-24,LAC vs. NOP,L,106,-10,LAC,NOP
0022300047,2023-11-24,IND vs. DET,W,136,23,IND,DET
0022300051,2023-11-24,GSW vs. SAS,W,118,6,GSW,SAS
0022300048,2023-11-24,HOU vs. DEN,W,105,19,HOU,DEN
0022300050,2023-11-24,MIN vs. SAC,L,111,-13,MIN,SAC
0022300049,2023-11-24,MIL vs. WAS,W,131,3,MIL,WAS
0022300045,2023-11-24,NYK vs. MIA,W,100,2,NYK,MIA
0022300044,2023-11-24,MEM vs. PHX,L,89,-21,MEM,PHX
0022300043,2023-11-24,ORL vs. BOS,W,113,17,ORL,BOS
0022300046,2023-11-24,TOR vs. CHI,W,121,13,TOR,CHI
0022300243,2023-11-25,UTA vs. NOP,W,105,5,UTA,NOP
0022300242,2023-11-25,CLE vs. LAL,L,115,-6,CLE,LAL
0022300241,2023-11-25,WAS vs. ATL,L,108,-28,WAS,ATL
0022300244,2023-11-25,LAC vs. DAL,W,107,19,LAC,DAL
0022300240,2023-11-25,BKN vs. MIA,W,112,15,BKN,MIA
0022300239,2023-11-25,OKC vs. PHI,L,123,-4,OKC,PHI
0022300247,2023-11-26,NYK vs. PHX,L,113,-3,NYK,PHX
0022300251,2023-11-26,CLE vs. TOR,W,105,3,CLE,TOR
0022300248,2023-11-26,ORL vs. CHA,W,130,13,ORL,CHA
0022300250,2023-11-26,BKN vs. CHI,W,118,9,BKN,CHI
0022300246,2023-11-26,BOS vs. ATL,W,113,10,BOS,ATL
0022300245,2023-11-26,MIL vs. POR,W,108,6,MIL,POR
0022300249,2023-11-26,MEM vs. MIN,L,97,-22,MEM,MIN
0022300252,2023-11-26,DEN vs. SAS,W,132,12,DEN,SAS
0022300256,2023-11-27,UTA vs. NOP,W,114,2,UTA,NOP
0022300257,2023-11-27,LAC vs. DEN,L,104,-9,LAC,DEN
0022300255,2023-11-27,PHI vs. LAL,W,138,44,PHI,LAL
0022300254,2023-11-27,IND vs. POR,L,110,-4,IND,POR
0022300253,2023-11-27,DET vs. WAS,L,107,-19,DET,WAS
0022300057,2023-11-28,NYK vs. CHA,W,115,24,NYK,CHA
0022300055,2023-11-28,CLE vs. ATL,W,128,23,CLE,ATL
0022300056,2023-11-28,MIA vs. MIL,L,124,-7,MIA,MIL
0022300053,2023-11-28,BOS vs. CHI,W,124,27,BOS,CHI
0022300059,2023-11-28,DAL vs. HOU,W,121,6,DAL,HOU
0022300058,2023-11-28,MIN vs. OKC,W,106,3,MIN,OKC
0022300054,2023-11-28,BKN vs. TOR,W,115,12,BKN,TOR
0022300060,2023-11-28,SAC vs. GSW,W,124,1,SAC,GSW
0022300262,2023-11-29,NOP vs. PHI,W,124,10,NOP,PHI
0022300260,2023-11-29,TOR vs. PHX,W,112,7,TOR,PHX
0022300263,2023-11-29,DEN vs. HOU,W,134,10,DEN,HOU
0022300258,2023-11-29,DET vs. LAL,L,107,-26,DET,LAL
0022300264,2023-11-29,SAC vs. LAC,L,117,-14,SAC,LAC
0022300259,2023-11-29,ORL vs. WAS,W,139,19,ORL,WAS
0022300261,2023-11-29,MEM vs. UTA,W,105,14,MEM,UTA
0022300273,2023-11-30,GSW vs. LAC,W,120,6,GSW,LAC
0022300270,2023-11-30,MIN vs. UTA,W,101,11,MIN,UTA
0022300267,2023-11-30,MIA vs. IND,W,142,10,MIA,IND
0022300269,2023-11-30,CHI vs. MIL,W,120,7,CHI,MIL
0022300268,2023-11-30,NYK vs. DET,W,118,6,NYK,DET
0022300265,2023-11-30,CLE vs. POR,L,95,-8,CLE,POR
0022300266,2023-11-30,BKN vs. CHA,L,128,-1,BKN,CHA
0022300272,2023-11-30,SAS vs. ATL,L,135,-2,SAS,ATL
0022300271,2023-11-30,OKC vs. LAL,W,133,23,OKC,LAL
0022300274,2023-12-01,ORL vs. WAS,W,130,5,ORL,WAS
0022300277,2023-12-01,DAL vs. MEM,L,94,-14,DAL,MEM
0022300275,2023-12-01,BOS vs. PHI,W,125,6,BOS,PHI
0022300276,2023-12-01,TOR vs. NYK,L,106,-13,TOR,NYK
0022300279,2023-12-01,PHX vs. DEN,L,111,-8,PHX,DEN
0022300278,2023-12-01,NOP vs. SAS,W,121,15,NOP,SAS
0022300283,2023-12-02,DET vs. CLE,L,101,-9,DET,CLE
0022300284,2023-12-02,MIA vs. IND,L,129,-15,MIA,IND
0022300286,2023-12-02,MIL vs. ATL,W,132,11,MIL,ATL
0022300290,2023-12-02,SAC vs. DEN,W,123,6,SAC,DEN
0022300285,2023-12-02,CHI vs. NOP,W,124,6,CHI,NOP
0022300280,2023-12-02,LAC vs. GSW,W,113,1,LAC,GSW
0022300287,2023-12-02,DAL vs. OKC,L,120,-6,DAL,OKC
0022300288,2023-12-02,PHX vs. MEM,W,116,7,PHX,MEM
0022300282,2023-12-02,BKN vs. ORL,W,129,28,BKN,ORL
0022300281,2023-12-02,CHA vs. MIN,L,117,-6,CHA,MIN
0022300289,2023-12-02,UTA vs. POR,W,118,5,UTA,POR
0022300291,2023-12-02,LAL vs. HOU,W,107,10,LAL,HOU
0022301202,2023-12-04,IND vs. BOS,W,122,10,IND,BOS
0022301204,2023-12-04,SAC vs. NOP,L,117,-10,SAC,NOP
0022301203,2023-12-05,LAL vs. PHX,W,106,3,LAL,PHX
0022301201,2023-12-05,MIL vs. NYK,W,146,24,MIL,NYK
0022301214,2023-12-06,GSW vs. POR,W,110,4,GSW,POR
0022301205,2023-12-06,CLE vs. ORL,W,121,10,CLE,ORL
0022301211,2023-12-06,CHI vs. CHA,W,111,11,CHI,CHA
0022301206,2023-12-06,DET vs. MEM,L,102,-14,DET,MEM
0022301208,2023-12-06,WAS vs. PHI,L,126,-5,WAS,PHI
0022301212,2023-12-06,HOU vs. OKC,W,110,9,HOU,OKC
0022301215,2023-12-06,LAC vs. DEN,W,111,9,LAC,DEN
0022301209,2023-12-06,ATL vs. BKN,L,113,-1,ATL,BKN
0022301207,2023-12-06,TOR vs. MIA,L,103,-9,TOR,MIA
0022301210,2023-12-06,MIN vs. SAS,W,102,8,MIN,SAS
0022301213,2023-12-06,DAL vs. UTA,W,147,50,DAL,UTA
0022301229,2023-12-07,MIL vs. IND,L,119,-9,MIL,IND
0022301230,2023-12-07,LAL vs. NOP,W,133,44,LAL,NOP
0022301218,2023-12-08,PHI vs. ATL,W,125,11,PHI,ATL
0022301224,2023-12-08,DEN vs. HOU,L,106,-8,DEN,HOU
0022301225,2023-12-08,UTA vs. LAC,L,103,-14,UTA,LAC
0022301226,2023-12-08,POR vs. DAL,L,112,-13,POR,DAL
0022301220,2023-12-08,MIA vs. CLE,L,99,-12,MIA,CLE
0022301222,2023-12-08,OKC vs. GSW,W,138,2,OKC,GSW
0022301228,2023-12-08,PHX vs. SAC,L,106,-8,PHX,SAC
0022301216,2023-12-08,CHA vs. TOR,W,119,3,CHA,TOR
0022301227,2023-12-08,BOS vs. NYK,W,133,10,BOS,NYK
0022301217,2023-12-08,ORL vs. DET,W,123,32,ORL,DET
0022301221,2023-12-08,MEM vs. MIN,L,103,-24,MEM,MIN
0022301219,2023-12-08,BKN vs. WAS,W,124,27,BKN,WAS
0022301223,2023-12-08,SAS vs. CHI,L,112,-9,SAS,CHI
0022300304,2023-12-11,LAC vs. POR,W,132,5,LAC,POR
0022300303,2023-12-11,SAC vs. BKN,W,131,13,SAC,BKN
0022300301,2023-12-11,NOP vs. MIN,W,121,14,NOP,MIN
0022300292,2023-12-11,CHA vs. MIA,L,114,-2,CHA,MIA
0022300293,2023-12-11,DET vs. IND,L,123,-8,DET,IND
0022300299,2023-12-11,MEM vs. DAL,L,113,-7,MEM,DAL
0022300302,2023-12-11,OKC vs. UTA,W,134,14,OKC,UTA
0022300297,2023-12-11,NYK vs. TOR,W,136,6,NYK,TOR
0022300296,2023-12-11,ATL vs. DEN,L,122,-7,ATL,DEN
0022300295,2023-12-11,PHI vs. WAS,W,146,45,PHI,WAS
0022300298,2023-12-11,HOU vs. SAS,W,93,11,HOU,SAS
0022300300,2023-12-11,MIL vs. CHI,W,133,4,MIL,CHI
0022300294,2023-12-11,ORL vs. CLE,W,104,10,ORL,CLE
0022300305,2023-12-12,BOS vs. CLE,W,120,7,BOS,CLE
0022300309,2023-12-12,LAC vs. SAC,W,119,20,LAC,SAC
0022300308,2023-12-12,PHX vs. GSW,W,119,3,PHX,GSW
0022300306,2023-12-12,DAL vs. LAL,W,127,2,DAL,LAL
0022300307,2023-12-12,CHI vs. DEN,L,106,-8,CHI,DEN
0022300314,2023-12-13,HOU vs. MEM,W,117,13,HOU,MEM
0022300313,2023-12-13,TOR vs. ATL,W,135,7,TOR,ATL
0022300317,2023-12-13,PHX vs. BKN,L,112,-4,PHX,BKN
0022300310,2023-12-13,DET vs. PHI,L,111,-18,DET,PHI
0022300318,2023-12-13,UTA vs. NYK,W,117,4,UTA,NYK
0022300311,2023-12-13,WAS vs. NOP,L,122,-20,WAS,NOP
0022300316,2023-12-13,SAS vs. LAL,L,119,-3,SAS,LAL
0022300312,2023-12-13,MIA vs. CHA,W,115,11,MIA,CHA
0022300315,2023-12-13,MIL vs. IND,W,140,14,MIL,IND
0022300321,2023-12-14,DAL vs. MIN,L,101,-18,DAL,MIN
0022300325,2023-12-14,LAC vs. GSW,W,121,8,LAC,GSW
0022300324,2023-12-14,SAC vs. OKC,W,128,5,SAC,OKC
0022300323,2023-12-14,POR vs. UTA,L,114,-8,POR,UTA
0022300319,2023-12-14,BOS vs. CLE,W,116,9,BOS,CLE
0022300320,2023-12-14,MIA vs. CHI,L,116,-8,MIA,CHI
0022300322,2023-12-14,DEN vs. BKN,W,124,23,DEN,BKN
0022300329,2023-12-15,BOS vs. ORL,W,128,17,BOS,ORL
0022300333,2023-12-15,PHX vs. NYK,L,122,-17,PHX,NYK
0022300328,2023-12-15,WAS vs. IND,W,137,14,WAS,IND
0022300331,2023-12-15,SAS vs. LAL,W,129,14,SAS,LAL
0022300327,2023-12-15,PHI vs. DET,W,124,32,PHI,DET
0022300332,2023-12-15,MEM vs. HOU,L,96,-7,MEM,HOU
0022300330,2023-12-15,TOR vs. ATL,L,104,-21,TOR,ATL
0022300326,2023-12-15,CHA vs. NOP,L,107,-5,CHA,NOP
0022300342,2023-12-16,SAC vs. UTA,W,125,21,SAC,UTA
0022300338,2023-12-16,MIN vs. IND,W,127,18,MIN,IND
0022300339,2023-12-16,GSW vs. BKN,W,124,4,GSW,BKN
0022300341,2023-12-16,POR vs. DAL,L,120,-11,POR,DAL
0022300343,2023-12-16,LAC vs. NYK,W,144,22,LAC,NYK
0022300337,2023-12-16,MIA vs. CHI,W,118,2,MIA,CHI
0022300336,2023-12-16,CLE vs. ATL,W,127,8,CLE,ATL
0022300335,2023-12-16,CHA vs. PHI,L,82,-53,CHA,PHI
0022300334,2023-12-16,MIL vs. DET,W,146,32,MIL,DET
0022300340,2023-12-16,DEN vs. OKC,L,117,-1,DEN,OKC
0022300344,2023-12-17,BOS vs. ORL,W,114,17,BOS,ORL
0022300347,2023-12-17,PHX vs. WAS,W,112,4,PHX,WAS
0022300348,2023-12-17,POR vs. GSW,L,114,-4,POR,GSW
0022300346,2023-12-17,MIL vs. HOU,W,128,9,MIL,HOU
0022300345,2023-12-17,SAS vs. NOP,L,110,-36,SAS,NOP
0022300354,2023-12-18,TOR vs. CHA,W,114,15,TOR,CHA
0022300351,2023-12-18,PHI vs. CHI,L,104,-4,PHI,CHI
0022300356,2023-12-18,DEN vs. DAL,W,130,26,DEN,DAL
0022300353,2023-12-18,MIA vs. MIN,L,108,-4,MIA,MIN
0022300350,2023-12-18,IND vs. LAC,L,127,-24,IND,LAC
0022300349,2023-12-18,CLE vs. HOU,W,135,5,CLE,HOU
0022300358,2023-12-18,SAC vs. WAS,W,143,12,SAC,WAS
0022300355,2023-12-18,OKC vs. MEM,W,116,19,OKC,MEM
0022300359,2023-12-18,LAL vs. NYK,L,109,-5,LAL,NYK
